,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,new_addition,dependent_project_count,github_dependent_project_count,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-05-13 03:38:40,2021-05-08 18:26:27,1581.0,125.0,556.0,9265.0,13535.0,2021-02-28 21:14:19,1.14.3,7986989.0,89741.0,36.0,very currency.,553.0,29,True,1.0,1.0,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-05-13 17:56:56,2021-05-12 08:05:39,10170.0,194.0,5369.0,30220.0,12586.0,2021-05-05 11:22:28,1.10.3,101713.0,1667.0,100.0,Official Go implementation of the Ethereum protocol.,596.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-05-13 17:54:29,2021-04-19 19:31:09,3327.0,254.0,4696.0,11176.0,15791.0,2021-04-19 21:05:35,2.0.12,67093.0,1863.0,100.0,An open source smart contract platform.,260.0,27,True,1.0,,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-05-13 17:18:55,2020-11-15 21:41:25,1067.0,78.0,495.0,1379.0,17989.0,2020-11-17 16:49:04,0.16.1.1,85374594.0,1067182.0,45.0,Dash - Reinventing Cryptocurrency.,496.0,26,True,2.0,-1.0,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-05-13 18:15:57,2021-05-13 17:25:21,19733.0,583.0,5627.0,53404.0,28996.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,967.0,25,True,2.0,,,,,
5,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-05-13 18:18:35,2021-05-13 17:28:31,400.0,492.0,2349.0,1940.0,14157.0,2021-05-08 05:01:25,1.6.8,95289.0,9528.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",150.0,24,False,2.0,,True,,,
6,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-05-13 18:20:33,2021-05-13 17:25:11,487.0,30.0,170.0,1914.0,14533.0,2021-05-10 18:07:18,0.10.6,,,45.0,"node of the decentralized oracle network, bridging on and off-chain computation.",87.0,24,True,2.0,,,188.0,188.0,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-05-13 12:51:09,2021-04-29 08:09:47,821.0,12.0,800.0,2659.0,15512.0,2021-04-27 11:01:41,GreatVoyage-v4.2.0,62260.0,1518.0,55.0,Java implementation of the Tron whitepaper.,218.0,23,True,3.0,,,,,
8,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-05-13 02:15:08,2021-05-12 22:03:17,1982.0,457.0,1980.0,5803.0,10359.0,2021-04-11 13:20:56,0.17.2.0,28501.0,445.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",345.0,22,False,3.0,,,,,
9,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-05-13 17:54:20,2020-04-29 05:57:07,2544.0,54.0,365.0,3817.0,19973.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,755.0,22,False,3.0,,,,,
