,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-06-03 19:03:12,2021-05-18 22:12:42,1941.0,150.0,763.0,11876.0,13537.0,2021-02-28 21:14:19,1.14.3,8139454.0,90438.0,36.0,very currency.,553.0,29,True,1.0,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-06-03 17:30:36,2021-06-03 15:12:47,10332.0,189.0,5416.0,30839.0,12634.0,2021-05-05 11:22:28,1.10.3,101726.0,1640.0,100.0,Official Go implementation of the Ethereum protocol.,601.0,27,True,1.0,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-06-03 18:09:17,2021-05-20 04:18:44,3337.0,250.0,4707.0,11209.0,20547.0,2021-05-20 13:46:17,2.1.0,69317.0,1925.0,100.0,An open source smart contract platform.,278.0,27,True,1.0,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-06-02 17:54:58,2021-05-19 02:00:56,1070.0,71.0,505.0,1386.0,19070.0,2021-05-19 20:38:29,0.17.0.2,85453739.0,1054984.0,47.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-06-03 18:33:17,2021-06-03 16:43:55,20036.0,584.0,5684.0,54442.0,29324.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,972.0,25,True,2.0,,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-06-03 19:03:37,2021-06-03 19:02:05,505.0,36.0,170.0,1997.0,14722.0,2021-05-24 16:37:33,0.10.7,,,46.0,"node of the decentralized oracle network, bridging on and off-chain computation.",88.0,25,True,2.0,203.0,203.0,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-06-03 19:33:55,2021-06-03 16:59:43,461.0,499.0,2418.0,2211.0,14441.0,2021-06-02 03:28:25,1.7.0,106851.0,10685.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",163.0,24,False,2.0,,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-06-03 11:16:56,2021-05-31 03:06:09,841.0,9.0,823.0,2695.0,15522.0,2021-05-21 16:07:02,GreatVoyage-v4.2.1,63228.0,1505.0,56.0,Java implementation of the Tron whitepaper.,221.0,23,True,3.0,,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-06-03 13:59:28,2021-05-24 08:28:11,173.0,93.0,100.0,501.0,12709.0,2021-05-10 16:47:42,1.0.7-ht.3,21356.0,1642.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,599.0,23,True,3.0,,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-06-02 14:53:03,2021-06-02 03:12:12,2062.0,461.0,1980.0,5918.0,10387.0,2021-04-11 13:20:56,0.17.2.0,28958.0,445.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",346.0,22,False,3.0,,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-05-27 14:17:33,2020-04-29 05:57:07,2636.0,57.0,370.0,3877.0,19973.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,754.0,22,False,3.0,,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-06-03 00:36:38,2021-04-22 06:01:42,1167.0,892.0,2254.0,4408.0,14996.0,2021-04-15 08:58:19,4.4.0,222.0,4.0,47.0,Zcash - Internet Money.,574.0,21,False,3.0,,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-06-03 18:47:45,2021-06-03 18:30:49,693.0,244.0,627.0,3573.0,2032.0,2021-05-26 14:45:15,0.9.3,26216.0,873.0,89.0,Polkadot Node Implementation.,121.0,21,True,3.0,,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-06-03 16:19:10,2021-06-03 10:19:00,278.0,226.0,590.0,1557.0,4398.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,80.0,20,True,3.0,,,,
