,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-06-23 15:25:04,2021-05-18 22:12:42,2034.0,161.0,781.0,12166.0,13537.0,2021-02-28 21:14:19,1.14.3,8196455.0,91071.0,36.0,very currency.,553.0,29,True,1.0,,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-06-24 16:19:06,2021-06-24 10:50:07,10463.0,204.0,5446.0,31183.0,12692.0,2021-06-17 10:37:35,1.10.4,98163.0,1609.0,100.0,Official Go implementation of the Ethereum protocol.,606.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-06-24 16:31:23,2021-05-20 04:18:44,3343.0,251.0,4712.0,11226.0,20547.0,2021-05-20 13:46:17,2.1.0,70819.0,1967.0,100.0,An open source smart contract platform.,279.0,27,True,1.0,,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-06-24 17:54:42,2021-06-05 19:11:48,1074.0,71.0,506.0,1389.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85529092.0,1055914.0,48.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-06-24 17:53:13,2021-06-24 14:01:21,20244.0,587.0,5715.0,55236.0,29668.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,976.0,25,True,2.0,,,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-06-24 17:57:28,2021-06-24 17:26:09,523.0,38.0,173.0,2043.0,15025.0,2021-06-21 19:15:15,0.10.8,,,47.0,"node of the decentralized oracle network, bridging on and off-chain computation.",92.0,25,True,2.0,220.0,220.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-06-24 17:55:28,2021-06-24 16:18:16,498.0,446.0,2521.0,2456.0,14702.0,2021-06-21 17:53:34,1.6.14,116906.0,11690.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",176.0,24,False,2.0,,,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-06-24 11:56:41,2021-06-22 07:08:38,855.0,10.0,841.0,2710.0,15586.0,2021-06-21 17:01:52,GreatVoyage-v4.2.2,64275.0,1530.0,57.0,Java implementation of the Tron whitepaper.,222.0,23,True,3.0,,,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-06-24 11:47:08,2021-06-10 07:42:55,196.0,110.0,106.0,538.0,12713.0,2021-05-10 09:27:08,1.1.0-beta,26251.0,2019.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,599.0,23,True,3.0,,,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-06-24 15:19:35,2021-06-16 19:41:40,2088.0,462.0,1981.0,5984.0,10411.0,2021-04-11 13:20:56,0.17.2.0,29058.0,447.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",346.0,22,False,3.0,,,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-06-10 08:07:14,2021-06-10 08:07:14,2678.0,57.0,374.0,3895.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,754.0,22,True,3.0,,,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-06-24 15:45:22,2021-06-21 17:42:06,1171.0,892.0,2263.0,4421.0,15108.0,2021-06-10 02:08:47,4.4.1,222.0,4.0,48.0,Zcash - Internet Money.,573.0,21,False,3.0,,,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-06-24 17:29:15,2021-06-23 21:26:33,720.0,254.0,677.0,3683.0,2130.0,2021-06-23 11:15:06,0.9.6,29491.0,983.0,91.0,Polkadot Node Implementation.,126.0,21,True,3.0,,,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-06-24 17:22:57,2021-06-24 07:10:05,289.0,226.0,613.0,1649.0,4545.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,84.0,20,True,3.0,,,,,
14,Stellar,blockchain,stellar/stellar-core,['PoS'],https://github.com/stellar/stellar-core,https://github.com/stellar/stellar-core,,2014-11-24 17:11:12,2021-06-23 21:34:25,2021-06-23 18:40:28,802.0,191.0,1044.0,2749.0,7089.0,2021-05-24 19:03:27,17.1.0,,,100.0,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network.,94.0,18,False,3.0,,,,,
15,Pancake swap,smart-contract,pancakeswap/pancake-swap-core,[],https://github.com/pancakeswap/pancake-swap-core,https://github.com/pancakeswap/pancake-swap-core,GPL-3.0,2020-09-14 06:01:21,2021-06-12 06:59:52,2020-09-27 07:36:36,338.0,8.0,4.0,125.0,259.0,,,,,,Core smart contracts.,9.0,16,True,1.0,469.0,469.0,,,
16,Compound,smart-contract,compound-finance/compound-protocol,[],https://github.com/compound-finance/compound-protocol,https://github.com/compound-finance/compound-protocol,BSD-3-Clause,2019-08-02 22:37:25,2021-06-17 21:59:49,2021-04-12 17:36:46,473.0,17.0,17.0,779.0,56.0,2020-06-27 16:22:17,2.8.1,183.0,9.0,10.0,The Compound On-Chain Protocol.,14.0,15,True,2.0,,,,,
17,Terra,blockchain,terra-project/core,['dPoS'],https://github.com/terra-money/core,https://github.com/terra-money/core,,2018-11-18 17:11:47,2021-06-24 05:48:43,2021-06-14 06:36:56,66.0,4.0,166.0,284.0,818.0,2021-04-14 00:36:09,0.4.6,2276.0,87.0,41.0,GO implementation of the Terra Protocol.,18.0,15,False,3.0,,,terra-money/core,,
18,USD Coin,smart-contract,centrehq/centre-tokens,[],https://github.com/centrehq/centre-tokens,https://github.com/centrehq/centre-tokens,MIT,2018-02-05 15:05:54,2021-06-09 12:22:59,2021-06-03 11:58:39,122.0,,29.0,202.0,836.0,2018-08-03 19:46:55,1.0.0,,,1.0,Source repository for fiat tokens on the CENTRE network.,16.0,14,True,2.0,,,,,
19,Paxos,smart-contract,paxosglobal/pax-contracts,[],https://github.com/paxosglobal/pax-contracts,https://github.com/paxosglobal/pax-contracts,MIT,2018-09-07 21:36:06,2021-06-12 04:23:21,2021-02-02 19:43:59,51.0,,5.0,64.0,51.0,,,,,,Solidity smart contracts for the Paxos Standard ERC20 stablecoin PAX.,7.0,11,False,3.0,,,,,
20,Suishi Swap,smart-contract,sushiswap/sushiswap-interface,[],https://github.com/sushiswap/sushiswap-interface,https://github.com/sushiswap/sushiswap-interface,,2021-02-13 17:56:56,2021-06-24 17:30:44,2021-06-24 17:30:38,99.0,25.0,45.0,54.0,2685.0,,,,,,An open source interface for the SushiSwap Protocol.,81.0,11,False,3.0,,,,-1.0,
21,Binance USD,smart-contract,paxosglobal/busd-contract,[],https://github.com/paxosglobal/busd-contract,https://github.com/paxosglobal/busd-contract,MIT,2019-09-06 18:00:31,2021-06-11 16:40:08,2021-02-02 19:43:45,32.0,,,35.0,8.0,,,,,,Solidity smart contracts for the Binance USD.,4.0,10,False,3.0,,,,,
22,Tezos,blockchain,,['dPoS'],,,,,,,,,,,,,,,,,,,0,False,,,,,,tezos/tezos
