,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,gitlab_id
0,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-09-02 13:31:52,2021-09-02 07:22:43,10821.0,253.0,5579.0,32125.0,12849.0,2021-08-24 07:07:47,1.10.8,88899.0,1389.0,100.0,Official Go implementation of the Ethereum protocol.,4792.0,4792.0,628.0,33,True,1.0,6.0,,
1,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-09-02 03:55:13,2021-08-20 09:09:55,2127.0,114.0,871.0,12860.0,13774.0,2021-08-21 00:30:41,1.14.4,8298661.0,89232.0,37.0,very currency.,,,593.0,29,True,1.0,,,
2,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-09-02 12:36:35,2021-06-05 19:11:48,1121.0,66.0,527.0,1405.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85719607.0,1020471.0,48.0,Dash - Reinventing Cryptocurrency.,,,506.0,28,True,2.0,1.0,,
3,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-09-02 16:57:08,2021-07-19 23:22:42,3353.0,269.0,4722.0,11248.0,20554.0,2021-08-24 18:22:18,2.0.13,75378.0,1932.0,100.0,An open source smart contract platform.,,,282.0,27,True,2.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-09-02 16:06:10,2021-09-02 16:04:54,20700.0,613.0,5815.0,56766.0,30460.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,,,1002.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-09-02 16:57:37,2021-09-02 08:48:13,598.0,44.0,186.0,2205.0,15722.0,2021-08-25 18:56:50,0.10.13,,,52.0,"node of the decentralized oracle network, bridging on and off-chain computation.",263.0,263.0,97.0,25,True,2.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-09-02 17:39:59,2021-09-02 17:32:08,634.0,512.0,2630.0,3454.0,15530.0,2021-08-26 16:28:29,1.6.22,157124.0,13093.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",,,198.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-09-02 08:26:31,2021-08-13 04:06:28,888.0,8.0,888.0,2789.0,15874.0,2021-08-03 09:53:04,GreatVoyage-v4.3.0,68072.0,1512.0,59.0,Java implementation of the Tron whitepaper.,,,223.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-09-02 12:26:35,2021-09-01 14:04:04,279.0,86.0,210.0,820.0,12735.0,2021-08-31 02:50:15,1.1.2,44248.0,2765.0,20.0,A Binance Smart Chain client based on the go-ethereum fork.,,,605.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-09-02 14:28:33,2021-08-27 01:13:44,2161.0,431.0,2051.0,6162.0,10541.0,2021-09-01 16:07:46,0.17.2.3,29714.0,436.0,40.0,"Monero: the secure, private, untraceable cryptocurrency.",,,351.0,22,False,3.0,,,
10,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-09-02 17:30:04,2021-09-02 16:47:38,808.0,306.0,752.0,4082.0,2346.0,2021-08-21 13:29:45,0.9.9-1,38555.0,1168.0,95.0,Polkadot Node Implementation.,,,136.0,22,True,3.0,1.0,,
11,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-08-02 22:18:28,2021-06-10 08:07:14,2726.0,61.0,375.0,3928.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,,,758.0,22,True,3.0,,,
12,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-09-02 17:37:06,2021-09-02 02:23:44,1184.0,896.0,2280.0,4448.0,15297.0,2021-06-10 02:08:47,4.4.1,222.0,3.0,48.0,Zcash - Internet Money.,,,575.0,21,False,3.0,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-09-02 16:57:40,2021-09-01 14:50:17,347.0,278.0,655.0,1962.0,4907.0,2021-08-27 19:20:06,1.29.0,57.0,2.0,31.0,The core component that is used to participate in a Cardano decentralised blockchain.,,,89.0,19,True,3.0,-1.0,,
14,Stellar,blockchain,stellar/stellar-core,['PoS'],https://github.com/stellar/stellar-core,https://github.com/stellar/stellar-core,,2014-11-24 17:11:12,2021-09-02 17:20:29,2021-09-02 03:35:28,818.0,205.0,1068.0,2778.0,7337.0,2021-08-30 19:31:38,17.4.0,,,100.0,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network.,,,95.0,18,False,3.0,,,
15,Pancake swap,smart-contract,pancakeswap/pancake-swap-core,[],https://github.com/pancakeswap/pancake-swap-core,https://github.com/pancakeswap/pancake-swap-core,GPL-3.0,2020-09-14 06:01:21,2021-09-02 16:05:44,2020-09-27 07:36:36,411.0,11.0,4.0,160.0,259.0,,,,,,Core smart contracts.,738.0,738.0,9.0,17,True,1.0,1.0,,
16,Compound,smart-contract,compound-finance/compound-protocol,[],https://github.com/compound-finance/compound-protocol,https://github.com/compound-finance/compound-protocol,BSD-3-Clause,2019-08-02 22:37:25,2021-08-31 05:25:17,2021-08-11 18:26:45,527.0,17.0,28.0,876.0,61.0,2020-06-27 16:22:17,2.8.1,194.0,8.0,10.0,The Compound On-Chain Protocol.,,,16.0,15,True,2.0,,,
17,Terra,blockchain,terra-project/core,['dPoS'],https://github.com/terra-money/core,https://github.com/terra-money/core,,2018-11-18 17:11:47,2021-09-02 12:56:21,2021-08-31 08:29:56,82.0,6.0,189.0,325.0,,2021-08-26 08:23:41,0.5.2,2447.0,84.0,46.0,GO implementation of the Terra Protocol.,8.0,8.0,20.0,14,False,3.0,-1.0,terra-money/core,
18,USD Coin,smart-contract,centrehq/centre-tokens,[],https://github.com/centrehq/centre-tokens,https://github.com/centrehq/centre-tokens,MIT,2018-02-05 15:05:54,2021-09-01 02:19:23,2021-06-03 11:58:39,128.0,,30.0,225.0,836.0,2018-08-03 19:46:55,1.0.0,,,1.0,Source repository for fiat tokens on the CENTRE network.,,,16.0,14,True,2.0,,,
19,Suishi Swap,smart-contract,sushiswap/sushiswap-interface,[],https://github.com/sushiswap/sushiswap-interface,https://github.com/sushiswap/sushiswap-interface,,2021-02-13 17:56:56,2021-09-02 14:59:03,2021-08-27 18:56:18,215.0,12.0,79.0,116.0,3645.0,,,,,,An open source interface for the SushiSwap Protocol.,,,91.0,13,False,3.0,2.0,,
20,Paxos,smart-contract,paxosglobal/pax-contracts,[],https://github.com/paxosglobal/usdp-contracts,https://github.com/paxosglobal/usdp-contracts,MIT,2018-09-07 21:36:06,2021-09-02 13:37:18,2021-09-02 13:36:35,50.0,,5.0,71.0,53.0,,,,,,Solidity smart contracts for the Paxos Standard ERC20 stablecoin PAX.,,,8.0,11,False,3.0,,paxosglobal/usdp-contracts,
21,Binance USD,smart-contract,paxosglobal/busd-contract,[],https://github.com/paxosglobal/busd-contract,https://github.com/paxosglobal/busd-contract,MIT,2019-09-06 18:00:31,2021-09-02 13:47:57,2021-02-02 19:43:45,33.0,,,41.0,8.0,,,,,,Solidity smart contracts for the Binance USD.,,,4.0,10,False,3.0,,,
22,Tezos,blockchain,,['dPoS'],,,,,,,,,,,,,,,,,,,,,0,False,,,,tezos/tezos
